mission,disposition,disposition_score,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,orbital_period,transit_depth,transit_duration,impact_parameter,signal_to_noise,planet_radius_earth,planet_temp,planet_count_in_system,stellar_temperature,stellar_radius,stellar_mass,stellar_logg
Kepler,CANDIDATE,0.999,0.0,0.0,0.0,0.0,40.4195037,6256.0,3.362,0.911,36.9,7.51,467.0,1.0,5446.0,0.781,0.714,4.507
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,2.243380573,821.7,1.1196,0.915,38.9,1.99,822.0,1.0,4149.0,0.564,0.578,4.698
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,10.405998015,14489.0,6.5036,0.324,745.2,11.23,833.0,1.0,5746.0,0.924,0.77,4.393
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,2.337437946,971.2,1.9982,0.28,82.4,2.34,1070.0,2.0,5005.0,0.765,0.85,4.595
Kepler,CANDIDATE,0.993,0.0,0.0,0.0,0.0,7.2406612,556.4,0.558,1.198,13.7,19.45,734.0,2.0,5005.0,0.765,0.85,4.595
Kepler,CANDIDATE,0.871,0.0,0.0,0.0,0.0,3.43591631,23.2,3.133,0.624,8.7,0.55,1272.0,3.0,5779.0,1.087,0.941,4.339
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,11.59822233,2804.5,2.5237,0.679,71.0,2.65,396.0,1.0,3688.0,0.473,0.503,4.79
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,6.575315881,2793.3,4.3084,0.39,221.1,5.31,1015.0,1.0,5992.0,0.989,0.927,4.415
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,7.275040844,3001.0,7.5377,0.547,312.1,4.86,833.0,1.0,5485.0,0.867,0.986,4.556
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,19.27153892,1219.8,2.7594,0.031,37.1,1.93,393.0,2.0,4077.0,0.56,0.576,4.702
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,10.06524317,1053.3,1.369,0.628,30.3,1.91,488.0,2.0,4077.0,0.56,0.576,4.702
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,12.3935651,916.6,3.8896,0.883,35.8,2.66,677.0,1.0,5557.0,0.75,0.832,4.603
Kepler,CONFIRMED,0.998,0.0,0.0,0.0,0.0,43.84439721,615.2,6.802,0.852,83.7,2.87,531.0,4.0,5854.0,1.012,0.951,4.406
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,0.0,3.341913228,725.3,3.813,1.213,39.0,21.55,1032.0,1.0,5295.0,0.811,0.853,4.551
Kepler,FALSE POSITIVE,0.773,0.0,0.0,1.0,0.0,1.626630225,1620.6,2.1145,1.26,103.6,32.43,1547.0,1.0,5735.0,0.973,0.889,4.41
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,2.711504086,837.5,3.0099,0.023,64.5,3.12,1420.0,2.0,6214.0,1.076,1.169,4.442
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,7.21203748,950.4,4.0491,0.012,51.5,3.32,1025.0,2.0,6214.0,1.076,1.169,4.442
Kepler,FALSE POSITIVE,0.334,0.0,0.0,0.0,1.0,14.1798187,459.9,2.505,0.1601,11.2,1.88,711.0,1.0,5799.0,0.878,0.975,4.539
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,8.47237911,1123.5,2.7245,0.022,47.6,2.59,751.0,2.0,5354.0,0.788,0.884,4.587
Kepler,CONFIRMED,0.989,0.0,0.0,0.0,0.0,60.4189369,931.3,5.039,0.094,20.1,2.36,390.0,2.0,5354.0,0.788,0.884,4.587
Kepler,CONFIRMED,1.0,0.0,0.0,0.0,0.0,12.611904345,6105.6,5.1497,0.55,277.2,7.4,753.0,1.0,5795.0,0.919,0.992,4.508
Kepler,FALSE POSITIVE,0.0,0.0,1.0,0.0,0.0,1.433769925,1976.3,1.8868,1.268,112.6,46.58,1920.0,1.0,6017.0,1.339,1.083,4.22
Kepler,FALSE POSITIVE,0.0,0.0,1.0,1.0,0.0,10.31872301,871.7,3.836,1.215,38.2,28.59,876.0,1.0,5927.0,1.06,1.05,4.409
